Occupation,Hierarchy Levels,variable,value
 Couriers and messengers ,2,Exposure to harmful substances or environments,0
 Couriers and messengers ,3,Exposure to harmful substances or environments,0
 Dispatchers ,2,Exposure to harmful substances or environments,0
" Dispatchers, except police, fire, and ambulance ",3,Exposure to harmful substances or environments,0
 Postal service workers ,2,Exposure to harmful substances or environments,0
 Postal service clerks ,3,Exposure to harmful substances or environments,0
 Postal service mail carriers ,3,Exposure to harmful substances or environments,0
" Shipping, receiving, and traffic clerks ",2,Exposure to harmful substances or environments,0
" Shipping, receiving, and traffic clerks ",3,Exposure to harmful substances or environments,0
 Stock clerks and order fillers ,2,Exposure to harmful substances or environments,0
 Stock clerks and order fillers ,3,Exposure to harmful substances or environments,0
 Secretaries and administrative assistants ,1,Exposure to harmful substances or environments,0
 Secretaries and administrative assistants ,2,Exposure to harmful substances or environments,0
" Secretaries and administrative assistants, except legal, medical, and executive ",3,Exposure to harmful substances or environments,0
" Supervisors of farming, fishing, and forestry workers ",1,Exposure to harmful substances or environments,0
" First-line supervisors of farming, fishing, and forestry workers ",2,Exposure to harmful substances or environments,0
" First-line supervisors of farming, fishing, and forestry workers ",3,Exposure to harmful substances or environments,0
" Graders and sorters, agricultural products ",2,Exposure to harmful substances or environments,0
" Graders and sorters, agricultural products ",3,Exposure to harmful substances or environments,0
 Agricultural equipment operators ,3,Exposure to harmful substances or environments,0
 Hunters and trappers ,2,Exposure to harmful substances or environments,0
 Hunters and trappers ,3,Exposure to harmful substances or environments,0
" Forest, conservation, and logging workers ",1,Exposure to harmful substances or environments,0
 Logging workers ,2,Exposure to harmful substances or environments,0
 Fallers ,3,Exposure to harmful substances or environments,0
 Logging equipment operators ,3,Exposure to harmful substances or environments,0
 Boilermakers ,2,Exposure to harmful substances or environments,0
 Boilermakers ,3,Exposure to harmful substances or environments,0
 Floor sanders and finishers ,3,Exposure to harmful substances or environments,0
 Tile and marble setters ,3,Exposure to harmful substances or environments,0
 Construction equipment operators ,2,Exposure to harmful substances or environments,0
" Paving, surfacing, and tamping equipment operators ",3,Exposure to harmful substances or environments,0
 Pile-driver operators ,3,Exposure to harmful substances or environments,0
 Operating engineers and other construction equipment operators ,3,Exposure to harmful substances or environments,0
" Drywall installers, ceiling tile installers, and tapers ",2,Exposure to harmful substances or environments,0
 Drywall and ceiling tile installers ,3,Exposure to harmful substances or environments,0
 Pipelayers ,3,Exposure to harmful substances or environments,0
 Reinforcing iron and rebar workers ,2,Exposure to harmful substances or environments,0
 Reinforcing iron and rebar workers ,3,Exposure to harmful substances or environments,0
 Sheet metal workers ,2,Exposure to harmful substances or environments,0
 Sheet metal workers ,3,Exposure to harmful substances or environments,0
 Solar photovoltaic installers ,2,Exposure to harmful substances or environments,0
 Solar photovoltaic installers ,3,Exposure to harmful substances or environments,0
" Helpers, construction trades ",1,Exposure to harmful substances or environments,0
" Helpers, construction trades ",2,Exposure to harmful substances or environments,0
 Helpers--roofers ,3,Exposure to harmful substances or environments,0
 Construction and building inspectors ,2,Exposure to harmful substances or environments,0
 Construction and building inspectors ,3,Exposure to harmful substances or environments,0
 Fence erectors ,2,Exposure to harmful substances or environments,0
 Fence erectors ,3,Exposure to harmful substances or environments,0
 Hazardous materials removal workers ,2,Exposure to harmful substances or environments,0
 Hazardous materials removal workers ,3,Exposure to harmful substances or environments,0
 Highway maintenance workers ,2,Exposure to harmful substances or environments,0
 Highway maintenance workers ,3,Exposure to harmful substances or environments,0
 Rail-track laying and maintenance equipment operators ,2,Exposure to harmful substances or environments,0
 Rail-track laying and maintenance equipment operators ,3,Exposure to harmful substances or environments,0
 Septic tank servicers and sewer pipe cleaners ,2,Exposure to harmful substances or environments,0
 Septic tank servicers and sewer pipe cleaners ,3,Exposure to harmful substances or environments,0
 Miscellaneous construction and related workers ,2,Exposure to harmful substances or environments,0
" Derrick, rotary drill, and service unit operators, oil, gas, and mining ",2,Exposure to harmful substances or environments,0
" Derrick operators, oil and gas ",3,Exposure to harmful substances or environments,0
" Rotary drill operators, oil and gas ",3,Exposure to harmful substances or environments,0
" Service unit operators, oil, gas, and mining ",3,Exposure to harmful substances or environments,0
" Earth drillers, except oil and gas ",2,Exposure to harmful substances or environments,0
" Earth drillers, except oil and gas ",3,Exposure to harmful substances or environments,0
" Explosives workers, ordnance handling experts, and blasters ",2,Exposure to harmful substances or environments,0
" Explosives workers, ordnance handling experts, and blasters ",3,Exposure to harmful substances or environments,0
 Continuous mining machine operators ,3,Exposure to harmful substances or environments,0
" Roustabouts, oil and gas ",2,Exposure to harmful substances or environments,0
" Roustabouts, oil and gas ",3,Exposure to harmful substances or environments,0
 Helpers--extraction workers ,2,Exposure to harmful substances or environments,0
 Helpers--extraction workers ,3,Exposure to harmful substances or environments,0
 Miscellaneous extraction workers ,2,Exposure to harmful substances or environments,0
 Radio and telecommunications equipment installers and repairers ,2,Exposure to harmful substances or environments,0
" Radio, cellular, and tower equipment installers and repairers ",3,Exposure to harmful substances or environments,0
" Telecommunications equipment installers and repairers, except line installers ",3,Exposure to harmful substances or environments,0
 Security and fire alarm systems installers ,3,Exposure to harmful substances or environments,0
 Aircraft mechanics and service technicians ,2,Exposure to harmful substances or environments,0
 Aircraft mechanics and service technicians ,3,Exposure to harmful substances or environments,0
 Automotive body and related repairers ,3,Exposure to harmful substances or environments,0
 Bus and truck mechanics and diesel engine specialists ,2,Exposure to harmful substances or environments,0
 Bus and truck mechanics and diesel engine specialists ,3,Exposure to harmful substances or environments,0
 Farm equipment mechanics and service technicians ,3,Exposure to harmful substances or environments,0
 Small engine mechanics ,2,Exposure to harmful substances or environments,0
 Motorcycle mechanics ,3,Exposure to harmful substances or environments,0
 Outdoor power equipment and other small engine mechanics ,3,Exposure to harmful substances or environments,0
" Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers ",2,Exposure to harmful substances or environments,0
 Tire repairers and changers ,3,Exposure to harmful substances or environments,0
 Industrial machinery mechanics ,3,Exposure to harmful substances or environments,0
" Maintenance workers, machinery ",3,Exposure to harmful substances or environments,0
 Millwrights ,3,Exposure to harmful substances or environments,0
 Telecommunications line installers and repairers ,3,Exposure to harmful substances or environments,0
 Riggers ,3,Exposure to harmful substances or environments,0
" Helpers--installation, maintenance, and repair workers ",3,Exposure to harmful substances or environments,0
 Supervisors of production workers ,1,Exposure to harmful substances or environments,0
 First-line supervisors of production and operating workers ,2,Exposure to harmful substances or environments,0
 First-line supervisors of production and operating workers ,3,Exposure to harmful substances or environments,0
" Electrical, electronics, and electromechanical assemblers ",2,Exposure to harmful substances or environments,0
 Electrical and electronic equipment assemblers ,3,Exposure to harmful substances or environments,0
 Miscellaneous assemblers and fabricators ,2,Exposure to harmful substances or environments,0
 Food processing workers ,1,Exposure to harmful substances or environments,0
 Bakers ,2,Exposure to harmful substances or environments,0
 Bakers ,3,Exposure to harmful substances or environments,0
" Butchers and other meat, poultry, and fish processing workers ",2,Exposure to harmful substances or environments,0
 Miscellaneous food processing workers ,2,Exposure to harmful substances or environments,0
 Computer control programmers and operators ,2,Exposure to harmful substances or environments,0
" Computer-controlled machine tool operators, metal and plastic ",3,Exposure to harmful substances or environments,0
" Forming machine setters, operators, and tenders, metal and plastic ",2,Exposure to harmful substances or environments,0
" Rolling machine setters, operators, and tenders, metal and plastic ",3,Exposure to harmful substances or environments,0
" Machine tool cutting setters, operators, and tenders, metal and plastic ",2,Exposure to harmful substances or environments,0
" Cutting, punching, and press machine setters, operators, and tenders, metal and plastic ",3,Exposure to harmful substances or environments,0
" Grinding, lapping, polishing, buffing mach tool setters, operators and tenders, metal and plastic ",3,Exposure to harmful substances or environments,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",2,Exposure to harmful substances or environments,0
" Multiple machine tool setters, operators, and tenders, metal and plastic ",3,Exposure to harmful substances or environments,0
 Laundry and dry-cleaning workers ,2,Exposure to harmful substances or environments,0
 Laundry and dry-cleaning workers ,3,Exposure to harmful substances or environments,0
 Cabinetmakers and bench carpenters ,2,Exposure to harmful substances or environments,0
 Cabinetmakers and bench carpenters ,3,Exposure to harmful substances or environments,0
" Woodworking machine setters, operators, and tenders ",2,Exposure to harmful substances or environments,0
" Sawing machine setters, operators, and tenders, wood ",3,Exposure to harmful substances or environments,0
 Water and wastewater treatment plant and system operators ,2,Exposure to harmful substances or environments,0
 Water and wastewater treatment plant and system operators ,3,Exposure to harmful substances or environments,0
 Miscellaneous plant and system operators ,2,Exposure to harmful substances or environments,0
" Petroleum pump system operators, refinery operators, and gaugers ",3,Exposure to harmful substances or environments,0
" Crushing, grinding, polishing, mixing, and blending workers ",2,Exposure to harmful substances or environments,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",2,Exposure to harmful substances or environments,0
" Extruding, forming, pressing, and compacting machine setters, operators, and tenders ",3,Exposure to harmful substances or environments,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",2,Exposure to harmful substances or environments,0
" Furnace, kiln, oven, drier, and kettle operators and tenders ",3,Exposure to harmful substances or environments,0
" Inspectors, testers, sorters, samplers, and weighers ",2,Exposure to harmful substances or environments,0
" Inspectors, testers, sorters, samplers, and weighers ",3,Exposure to harmful substances or environments,0
 Packaging and filling machine operators and tenders ,2,Exposure to harmful substances or environments,0
 Packaging and filling machine operators and tenders ,3,Exposure to harmful substances or environments,0
 Painting workers ,2,Exposure to harmful substances or environments,0
" Coating, painting, and spraying machine setters, operators, and tenders ",3,Exposure to harmful substances or environments,0
" Painters, transportation equipment ",3,Exposure to harmful substances or environments,0
" Painting, coating, and decorating workers ",3,Exposure to harmful substances or environments,0
" Molders, shapers, and casters, except metal and plastic ",3,Exposure to harmful substances or environments,0
" Paper goods machine setters, operators, and tenders ",3,Exposure to harmful substances or environments,0
 Helpers--production workers ,3,Exposure to harmful substances or environments,0
" Supervisors, transportation and material moving workers ",1,Exposure to harmful substances or environments,0
" First-line supervisors of helpers, laborers, and material movers, hand ",2,Exposure to harmful substances or environments,0
" First-line supervisors of helpers, laborers, and material movers, hand ",3,Exposure to harmful substances or environments,0
 First-line supervisors of transportation and material-moving machine and vehicle operators ,2,Exposure to harmful substances or environments,0
 First-line supervisors of transportation and material-moving machine and vehicle operators ,3,Exposure to harmful substances or environments,0
 Air transportation workers ,1,Exposure to harmful substances or environments,0
 Aircraft pilots and flight engineers ,2,Exposure to harmful substances or environments,0
" Airline pilots, copilots, and flight engineers ",3,Exposure to harmful substances or environments,0
 Commercial pilots ,3,Exposure to harmful substances or environments,0
 Flight attendants ,2,Exposure to harmful substances or environments,0
 Flight attendants ,3,Exposure to harmful substances or environments,0
 Bus drivers ,2,Exposure to harmful substances or environments,0
" Bus drivers, transit and intercity ",3,Exposure to harmful substances or environments,0
" Bus drivers, school or special client ",3,Exposure to harmful substances or environments,0
 Driver/sales workers ,3,Exposure to harmful substances or environments,0
 Taxi drivers and chauffeurs ,2,Exposure to harmful substances or environments,0
 Taxi drivers and chauffeurs ,3,Exposure to harmful substances or environments,0
 Miscellaneous motor vehicle operators ,2,Exposure to harmful substances or environments,0
 Rail transportation workers ,1,Exposure to harmful substances or environments,0
 Locomotive engineers and operators ,2,Exposure to harmful substances or environments,0
 Locomotive engineers ,3,Exposure to harmful substances or environments,0
 Railroad conductors and yardmasters ,2,Exposure to harmful substances or environments,0
 Railroad conductors and yardmasters ,3,Exposure to harmful substances or environments,0
 Sailors and marine oilers ,2,Exposure to harmful substances or environments,0
 Sailors and marine oilers ,3,Exposure to harmful substances or environments,0
 Ship and boat captains and operators ,2,Exposure to harmful substances or environments,0
" Captains, mates, and pilots of water vessels ",3,Exposure to harmful substances or environments,0
 Other transportation workers ,1,Exposure to harmful substances or environments,0
 Parking lot attendants ,2,Exposure to harmful substances or environments,0
 Parking lot attendants ,3,Exposure to harmful substances or environments,0
 Automotive and watercraft service attendants ,2,Exposure to harmful substances or environments,0
 Automotive and watercraft service attendants ,3,Exposure to harmful substances or environments,0
 Transportation inspectors ,2,Exposure to harmful substances or environments,0
 Transportation inspectors ,3,Exposure to harmful substances or environments,0
 Conveyor operators and tenders ,2,Exposure to harmful substances or environments,0
 Conveyor operators and tenders ,3,Exposure to harmful substances or environments,0
 Crane and tower operators ,2,Exposure to harmful substances or environments,0
 Crane and tower operators ,3,Exposure to harmful substances or environments,0
" Dredge, excavating, and loading machine operators ",2,Exposure to harmful substances or environments,0
 Excavating and loading machine and dragline operators ,3,Exposure to harmful substances or environments,0
" Loading machine operators, underground mining ",3,Exposure to harmful substances or environments,0
" Packers and packagers, hand ",3,Exposure to harmful substances or environments,0
 Pumping station operators ,2,Exposure to harmful substances or environments,0
" Pump operators, except wellhead pumpers ",3,Exposure to harmful substances or environments,0
 Wellhead pumpers ,3,Exposure to harmful substances or environments,0
 Refuse and recyclable material collectors ,2,Exposure to harmful substances or environments,0
 Refuse and recyclable material collectors ,3,Exposure to harmful substances or environments,0
 Mine shuttle car operators ,2,Exposure to harmful substances or environments,0
 Mine shuttle car operators ,3,Exposure to harmful substances or environments,0
 Top executives ,1,Contact with objects and equipment,0
 Chief executives ,2,Contact with objects and equipment,0
 Chief executives ,3,Contact with objects and equipment,0
 General and operations managers ,2,Contact with objects and equipment,0
 General and operations managers ,3,Contact with objects and equipment,0
" Advertising, marketing, promotions, public relations, and sales managers ",1,Contact with objects and equipment,0
 Marketing and sales managers ,2,Contact with objects and equipment,0
 Marketing managers ,3,Contact with objects and equipment,0
 Sales managers ,3,Contact with objects and equipment,0
 Operations specialties managers ,1,Contact with objects and equipment,0
 Industrial production managers ,2,Contact with objects and equipment,0
 Industrial production managers ,3,Contact with objects and equipment,0
" Transportation, storage, and distribution managers ",2,Contact with objects and equipment,0
" Transportation, storage, and distribution managers ",3,Contact with objects and equipment,0
 Construction managers ,2,Contact with objects and equipment,0
 Construction managers ,3,Contact with objects and equipment,0
 Education administrators ,2,Contact with objects and equipment,0
" Education administrators, elementary and secondary school ",3,Contact with objects and equipment,0
" Education administrators, postsecondary ",3,Contact with objects and equipment,0
 Architectural and engineering managers ,2,Contact with objects and equipment,0
 Architectural and engineering managers ,3,Contact with objects and equipment,0
 Food service managers ,2,Contact with objects and equipment,0
 Food service managers ,3,Contact with objects and equipment,0
 Gaming managers ,2,Contact with objects and equipment,0
 Gaming managers ,3,Contact with objects and equipment,0
 Lodging managers ,2,Contact with objects and equipment,0
 Lodging managers ,3,Contact with objects and equipment,0
 Medical and health services managers ,2,Contact with objects and equipment,0
 Medical and health services managers ,3,Contact with objects and equipment,0
 Natural sciences managers ,2,Contact with objects and equipment,0
 Natural sciences managers ,3,Contact with objects and equipment,0
" Property, real estate, and community association managers ",2,Contact with objects and equipment,0
" Property, real estate, and community association managers ",3,Contact with objects and equipment,0
 Social and community service managers ,2,Contact with objects and equipment,0
 Social and community service managers ,3,Contact with objects and equipment,0
 Miscellaneous managers ,2,Contact with objects and equipment,0
 Buyers and purchasing agents ,2,Contact with objects and equipment,0
" Buyers and purchasing agents, farm products ",3,Contact with objects and equipment,0
" Claims adjusters, appraisers, examiners, and investigators ",2,Contact with objects and equipment,0
" Claims adjusters, examiners, and investigators ",3,Contact with objects and equipment,0
 Compliance officers ,2,Contact with objects and equipment,0
 Compliance officers ,3,Contact with objects and equipment,0
 Human resources workers ,2,Contact with objects and equipment,0
 Labor relations specialists ,3,Contact with objects and equipment,0
" Meeting, convention, and event planners ",2,Contact with objects and equipment,0
" Meeting, convention, and event planners ",3,Contact with objects and equipment,0
 Market research analysts and marketing specialists ,2,Contact with objects and equipment,0
 Market research analysts and marketing specialists ,3,Contact with objects and equipment,0
 Financial specialists ,1,Contact with objects and equipment,0
 Accountants and auditors ,2,Contact with objects and equipment,0
 Accountants and auditors ,3,Contact with objects and equipment,0
 Appraisers and assessors of real estate ,2,Contact with objects and equipment,0
 Appraisers and assessors of real estate ,3,Contact with objects and equipment,0
 Financial analysts and advisors ,2,Contact with objects and equipment,0
 Financial analysts ,3,Contact with objects and equipment,0
 Personal financial advisors ,3,Contact with objects and equipment,0
 Miscellaneous financial specialists ,2,Contact with objects and equipment,0
 Computer and mathematical occupations ,0,Contact with objects and equipment,0
 Computer occupations ,1,Contact with objects and equipment,0
 Computer and information analysts ,2,Contact with objects and equipment,0
 Computer systems analysts ,3,Contact with objects and equipment,0
 Information security analysts ,3,Contact with objects and equipment,0
 Software developers and programmers ,2,Contact with objects and equipment,0
" Software developers, systems software ",3,Contact with objects and equipment,0
 Miscellaneous computer occupations ,2,Contact with objects and equipment,0
 Architecture and engineering occupations ,0,Contact with objects and equipment,0
" Architects, surveyors, and cartographers ",1,Contact with objects and equipment,0
" Surveyors, cartographers, and photogrammetrists ",2,Contact with objects and equipment,0
 Surveyors ,3,Contact with objects and equipment,0
 Engineers ,1,Contact with objects and equipment,0
 Civil engineers ,2,Contact with objects and equipment,0
 Civil engineers ,3,Contact with objects and equipment,0
 Electrical and electronics engineers ,2,Contact with objects and equipment,0
 Electrical engineers ,3,Contact with objects and equipment,0
 Materials engineers ,2,Contact with objects and equipment,0
 Materials engineers ,3,Contact with objects and equipment,0
 Mechanical engineers ,2,Contact with objects and equipment,0
 Mechanical engineers ,3,Contact with objects and equipment,0
" Mining and geological engineers, including mining safety engineers ",2,Contact with objects and equipment,0
" Mining and geological engineers, including mining safety engineers ",3,Contact with objects and equipment,0
" Drafters, engineering technicians, and mapping technicians ",1,Contact with objects and equipment,0
" Engineering technicians, except drafters ",2,Contact with objects and equipment,0
" Life, physical, and social science occupations ",0,Contact with objects and equipment,0
 Life scientists ,1,Contact with objects and equipment,0
 Biological scientists ,2,Contact with objects and equipment,0
 Zoologists and wildlife biologists ,3,Contact with objects and equipment,0
 Conservation scientists and foresters ,2,Contact with objects and equipment,0
 Physical scientists ,1,Contact with objects and equipment,0
 Chemists and materials scientists ,2,Contact with objects and equipment,0
 Chemists ,3,Contact with objects and equipment,0
 Social scientists and related workers ,1,Contact with objects and equipment,0
 Economists ,2,Contact with objects and equipment,0
 Economists ,3,Contact with objects and equipment,0
 Psychologists ,2,Contact with objects and equipment,0
" Clinical, counseling, and school psychologists ",3,Contact with objects and equipment,0
" Life, physical, and social science technicians ",1,Contact with objects and equipment,0
" Miscellaneous life, physical, and social science technicians ",2,Contact with objects and equipment,0
 Forest and conservation technicians ,3,Contact with objects and equipment,0
 Community and social services occupations ,0,Contact with objects and equipment,0
" Counselors, social workers, and other community and social service specialists ",1,Contact with objects and equipment,0
 Counselors ,2,Contact with objects and equipment,0
 Social workers ,2,Contact with objects and equipment,0
" Child, family, and school social workers ",3,Contact with objects and equipment,0
 Mental health and substance abuse social workers ,3,Contact with objects and equipment,0
 Religious workers ,1,Contact with objects and equipment,0
 Clergy ,2,Contact with objects and equipment,0
 Clergy ,3,Contact with objects and equipment,0
 Legal occupations ,0,Contact with objects and equipment,0
" Lawyers, judges, and related workers ",1,Contact with objects and equipment,0
 Lawyers and judicial law clerks ,2,Contact with objects and equipment,0
 Lawyers ,3,Contact with objects and equipment,0
" Judges, magistrates, and other judicial workers ",2,Contact with objects and equipment,0
" Judges, magistrate judges, and magistrates ",3,Contact with objects and equipment,0
 Legal support workers ,1,Contact with objects and equipment,0
" Education, training, and library occupations ",0,Contact with objects and equipment,0
 Postsecondary teachers ,1,Contact with objects and equipment,0
 Miscellaneous postsecondary teachers ,2,Contact with objects and equipment,0
" Vocational education teachers, postsecondary ",3,Contact with objects and equipment,0
" Preschool, primary, secondary, and special education school teachers ",1,Contact with objects and equipment,0
 Elementary and middle school teachers ,2,Contact with objects and equipment,0
" Elementary school teachers, except special education ",3,Contact with objects and equipment,0
" Middle school teachers, except special and career/technical education ",3,Contact with objects and equipment,0
 Secondary school teachers ,2,Contact with objects and equipment,0
" Secondary school teachers, except special and career/technical education ",3,Contact with objects and equipment,0
 Other teachers and instructors ,1,Contact with objects and equipment,0
 Self-enrichment education teachers ,2,Contact with objects and equipment,0
 Self-enrichment education teachers ,3,Contact with objects and equipment,0
" Other education, training, and library occupations ",1,Contact with objects and equipment,0
 Teacher assistants ,2,Contact with objects and equipment,0
 Teacher assistants ,3,Contact with objects and equipment,0
" Arts, design, entertainment, sports, and media occupations ",0,Contact with objects and equipment,0
 Art and design workers ,1,Contact with objects and equipment,0
 Designers ,2,Contact with objects and equipment,0
 Commercial and industrial designers ,3,Contact with objects and equipment,0
 Floral designers ,3,Contact with objects and equipment,0
 Graphic designers ,3,Contact with objects and equipment,0
 Interior designers ,3,Contact with objects and equipment,0
 Merchandise displayers and window trimmers ,3,Contact with objects and equipment,0
" Entertainers and performers, sports and related workers ",1,Contact with objects and equipment,0
" Actors, producers, and directors ",2,Contact with objects and equipment,0
 Producers and directors ,3,Contact with objects and equipment,0
" Athletes, coaches, umpires, and related workers ",2,Contact with objects and equipment,0
 Athletes and sports competitors ,3,Contact with objects and equipment,0
 Coaches and scouts ,3,Contact with objects and equipment,0
" Musicians, singers, and related workers ",2,Contact with objects and equipment,0
 Musicians and singers ,3,Contact with objects and equipment,0
" Miscellaneous entertainers and performers, sports and related workers ",2,Contact with objects and equipment,0
 Media and communication workers ,1,Contact with objects and equipment,0
" News analysts, reporters and correspondents ",2,Contact with objects and equipment,0
 Reporters and correspondents ,3,Contact with objects and equipment,0
 Writers and editors ,2,Contact with objects and equipment,0
 Editors ,3,Contact with objects and equipment,0
 Miscellaneous media and communication workers ,2,Contact with objects and equipment,0
 Media and communication equipment workers ,1,Contact with objects and equipment,0
 Broadcast and sound engineering technicians and radio operators ,2,Contact with objects and equipment,0
 Audio and video equipment technicians ,3,Contact with objects and equipment,0
 Broadcast technicians ,3,Contact with objects and equipment,0
 Sound engineering technicians ,3,Contact with objects and equipment,0
 Photographers ,2,Contact with objects and equipment,0
 Photographers ,3,Contact with objects and equipment,0
 Chiropractors ,2,Contact with objects and equipment,0
 Chiropractors ,3,Contact with objects and equipment,0
 Pharmacists ,2,Contact with objects and equipment,0
 Pharmacists ,3,Contact with objects and equipment,0
 Physicians and surgeons ,2,Contact with objects and equipment,0
 Therapists ,2,Contact with objects and equipment,0
 Occupational therapists ,3,Contact with objects and equipment,0
 Registered nurses ,2,Contact with objects and equipment,0
 Registered nurses ,3,Contact with objects and equipment,0
 Health technologists and technicians ,1,Contact with objects and equipment,0
 Emergency medical technicians and paramedics ,2,Contact with objects and equipment,0
 Emergency medical technicians and paramedics ,3,Contact with objects and equipment,0
 Health practitioner support technologists and technicians ,2,Contact with objects and equipment,0
 Pharmacy technicians ,3,Contact with objects and equipment,0
 Ophthalmic medical technicians ,3,Contact with objects and equipment,0
 Licensed practical and licensed vocational nurses ,2,Contact with objects and equipment,0
 Licensed practical and licensed vocational nurses ,3,Contact with objects and equipment,0
 Healthcare support occupations ,0,Contact with objects and equipment,0
" Nursing, psychiatric, and home health aides ",1,Contact with objects and equipment,0
" Nursing, psychiatric, and home health aides ",2,Contact with objects and equipment,0
 Home health aides ,3,Contact with objects and equipment,0
 Nursing assistants ,3,Contact with objects and equipment,0
 Occupational therapy and physical therapist assistants and aides ,1,Contact with objects and equipment,0
 Occupational therapist assistants and aides ,2,Contact with objects and equipment,0
 Occupational therapy assistants ,3,Contact with objects and equipment,0
 Other healthcare support occupations ,1,Contact with objects and equipment,0
 Massage therapists ,2,Contact with objects and equipment,0
 Massage therapists ,3,Contact with objects and equipment,0
 Miscellaneous healthcare support occupations ,2,Contact with objects and equipment,0
 Phlebotomists ,3,Contact with objects and equipment,0
 Supervisors of protective service workers ,1,Contact with objects and equipment,0
 First-line supervisors of law enforcement workers ,2,Contact with objects and equipment,0
 First-line supervisors of police and detectives ,3,Contact with objects and equipment,0
 First-line supervisors of fire fighting and prevention workers ,2,Contact with objects and equipment,0
 First-line supervisors of fire fighting and prevention workers ,3,Contact with objects and equipment,0
" Miscellaneous first-line supervisors, protective service workers ",2,Contact with objects and equipment,0
 Fire fighting and prevention workers ,1,Contact with objects and equipment,0
 Firefighters ,2,Contact with objects and equipment,0
 Firefighters ,3,Contact with objects and equipment,0
" Bailiffs, correctional officers, and jailers ",2,Contact with objects and equipment,0
 Correctional officers and jailers ,3,Contact with objects and equipment,0
 Detectives and criminal investigators ,2,Contact with objects and equipment,0
 Detectives and criminal investigators ,3,Contact with objects and equipment,0
 Other protective service workers ,1,Contact with objects and equipment,0
 Private detectives and investigators ,2,Contact with objects and equipment,0
 Private detectives and investigators ,3,Contact with objects and equipment,0
 Security guards and gaming surveillance officers ,2,Contact with objects and equipment,0
 Security guards ,3,Contact with objects and equipment,0
 Miscellaneous protective service workers ,2,Contact with objects and equipment,0
 Crossing guards ,3,Contact with objects and equipment,0
 Food preparation and serving related occupations ,0,Contact with objects and equipment,0
 Supervisors of food preparation and serving workers ,1,Contact with objects and equipment,0
 First-line supervisors of food preparation and serving workers ,2,Contact with objects and equipment,0
 Chefs and head cooks ,3,Contact with objects and equipment,0
 First-line supervisors of food preparation and serving workers ,3,Contact with objects and equipment,0
 Cooks and food preparation workers ,1,Contact with objects and equipment,0
 Cooks ,2,Contact with objects and equipment,0
" Cooks, fast food ",3,Contact with objects and equipment,0
" Cooks, institution and cafeteria ",3,Contact with objects and equipment,0
" Cooks, restaurant ",3,Contact with objects and equipment,0
 Food preparation workers ,2,Contact with objects and equipment,0
 Food preparation workers ,3,Contact with objects and equipment,0
 Food and beverage serving workers ,1,Contact with objects and equipment,0
 Bartenders ,2,Contact with objects and equipment,0
 Bartenders ,3,Contact with objects and equipment,0
 Fast food and counter workers ,2,Contact with objects and equipment,0
" Combined food preparation and serving workers, including fast food ",3,Contact with objects and equipment,0
" Counter attendants, cafeteria, food concession, and coffee shop ",3,Contact with objects and equipment,0
 Waiters and waitresses ,2,Contact with objects and equipment,0
 Waiters and waitresses ,3,Contact with objects and equipment,0
 Other food preparation and serving related workers ,1,Contact with objects and equipment,0
 Dining room and cafeteria attendants and bartender helpers ,2,Contact with objects and equipment,0
 Dining room and cafeteria attendants and bartender helpers ,3,Contact with objects and equipment,0
 Dishwashers ,2,Contact with objects and equipment,0
 Dishwashers ,3,Contact with objects and equipment,0
 Miscellaneous food preparation and serving related workers ,2,Contact with objects and equipment,0
 First-line supervisors of housekeeping and janitorial workers ,3,Contact with objects and equipment,0
 Maids and housekeeping cleaners ,3,Contact with objects and equipment,0
 Pest control workers ,2,Contact with objects and equipment,0
 Pest control workers ,3,Contact with objects and equipment,0
" Pesticide handlers, sprayers, and applicators, vegetation ",3,Contact with objects and equipment,0
 Supervisors of personal care and service workers ,1,Contact with objects and equipment,0
 First-line supervisors of personal service workers ,2,Contact with objects and equipment,0
 First-line supervisors of personal service workers ,3,Contact with objects and equipment,0
 Animal care and service workers ,1,Contact with objects and equipment,0
 Animal trainers ,2,Contact with objects and equipment,0
 Animal trainers ,3,Contact with objects and equipment,0
 Nonfarm animal caretakers ,2,Contact with objects and equipment,0
 Nonfarm animal caretakers ,3,Contact with objects and equipment,0
 Entertainment attendants and related workers ,1,Contact with objects and equipment,0
 Miscellaneous entertainment attendants and related workers ,2,Contact with objects and equipment,0
 Amusement and recreation attendants ,3,Contact with objects and equipment,0
 Funeral service workers ,1,Contact with objects and equipment,0
" Morticians, undertakers, and funeral directors ",2,Contact with objects and equipment,0
" Morticians, undertakers, and funeral directors ",3,Contact with objects and equipment,0
 Personal appearance workers ,1,Contact with objects and equipment,0
" Barbers, hairdressers, hairstylists and cosmetologists ",2,Contact with objects and equipment,0
 Barbers ,3,Contact with objects and equipment,0
 Tour guides and escorts ,3,Contact with objects and equipment,0
 Other personal care and service workers ,1,Contact with objects and equipment,0
 Personal care aides ,2,Contact with objects and equipment,0
 Personal care aides ,3,Contact with objects and equipment,0
 Recreation and fitness workers ,2,Contact with objects and equipment,0
 Fitness trainers and aerobics instructors ,3,Contact with objects and equipment,0
 Recreation workers ,3,Contact with objects and equipment,0
